"city","country"
"A Corua (La Corua)","Spain"
"Abha","Saudi Arabia"
"Abu Dhabi","United Arab Emirates"
"Acua","Mexico"
"Adana","Turkey"
"Addis Abeba","Ethiopia"
"Aden","Yemen"
"Adoni","India"
"Ahmadnagar","India"
"Akishima","Japan"
"Akron","United States"
"al-Ayn","United Arab Emirates"
"al-Hawiya","Saudi Arabia"
"al-Manama","Bahrain"
"al-Qadarif","Sudan"
"al-Qatif","Saudi Arabia"
"Alessandria","Italy"
"Allappuzha (Alleppey)","India"
"Allende","Mexico"
"Almirante Brown","Argentina"
"Alvorada","Brazil"
"Ambattur","India"
"Amersfoort","Netherlands"
"Amroha","India"
"Angra dos Reis","Brazil"
"Anpolis","Brazil"
"Antofagasta","Chile"
"Aparecida de Goinia","Brazil"
"Apeldoorn","Netherlands"
"Araatuba","Brazil"
"Arak","Iran"
"Arecibo","Puerto Rico"
"Arlington","United States"
"Ashdod","Israel"
"Ashgabat","Turkmenistan"
"Ashqelon","Israel"
"Asuncin","Paraguay"
"Athenai","Greece"
"Atinsk","Russian Federation"
"Atlixco","Mexico"
"Augusta-Richmond County","United States"
"Aurora","United States"
"Avellaneda","Argentina"
"Bag","Brazil"
"Baha Blanca","Argentina"
"Baicheng","China"
"Baiyin","China"
"Baku","Azerbaijan"
"Balaiha","Russian Federation"
"Balikesir","Turkey"
"Balurghat","India"
"Bamenda","Cameroon"
"Bandar Seri Begawan","Brunei"
"Banjul","Gambia"
"Barcelona","Venezuela"
"Basel","Switzerland"
"Bat Yam","Israel"
"Batman","Turkey"
"Batna","Algeria"
"Battambang","Cambodia"
"Baybay","Philippines"
"Bayugan","Philippines"
"Bchar","Algeria"
"Beira","Mozambique"
"Bellevue","United States"
"Belm","Brazil"
"Benguela","Angola"
"Beni-Mellal","Morocco"
"Benin City","Nigeria"
"Bergamo","Italy"
"Berhampore (Baharampur)","India"
"Bern","Switzerland"
"Bhavnagar","India"
"Bhilwara","India"
"Bhimavaram","India"
"Bhopal","India"
"Bhusawal","India"
"Bijapur","India"
"Bilbays","Egypt"
"Binzhou","China"
"Birgunj","Nepal"
"Bislig","Philippines"
"Blumenau","Brazil"
"Boa Vista","Brazil"
"Boksburg","South Africa"
"Botosani","Romania"
"Botshabelo","South Africa"
"Bradford","United Kingdom"
"Braslia","Brazil"
"Bratislava","Slovakia"
"Brescia","Italy"
"Brest","France"
"Brindisi","Italy"
"Brockton","United States"
"Bucuresti","Romania"
"Buenaventura","Colombia"
"Bydgoszcz","Poland"
"Cabuyao","Philippines"
"Callao","Peru"
"Cam Ranh","Vietnam"
"Cape Coral","United States"
"Caracas","Venezuela"
"Carmen","Mexico"
"Cavite","Philippines"
"Cayenne","French Guiana"
"Celaya","Mexico"
"Chandrapur","India"
"Changhwa","Taiwan"
"Changzhou","China"
"Chapra","India"
"Charlotte Amalie","Virgin Islands, U.S."
"Chatsworth","South Africa"
"Cheju","South Korea"
"Chiayi","Taiwan"
"Chisinau","Moldova"
"Chungho","Taiwan"
"Cianjur","Indonesia"
"Ciomas","Indonesia"
"Ciparay","Indonesia"
"Citrus Heights","United States"
"Citt del Vaticano","Holy See (Vatican City State)"
"Ciudad del Este","Paraguay"
"Clarksville","United States"
"Coacalco de Berriozbal","Mexico"
"Coatzacoalcos","Mexico"
"Compton","United States"
"Coquimbo","Chile"
"Crdoba","Argentina"
"Cuauhtmoc","Mexico"
"Cuautla","Mexico"
"Cuernavaca","Mexico"
"Cuman","Venezuela"
"Czestochowa","Poland"
"Dadu","Pakistan"
"Dallas","United States"
"Datong","China"
"Daugavpils","Latvia"
"Davao","Philippines"
"Daxian","China"
"Dayton","United States"
"Deba Habe","Nigeria"
"Denizli","Turkey"
"Dhaka","Bangladesh"
"Dhule (Dhulia)","India"
"Dongying","China"
"Donostia-San Sebastin","Spain"
"Dos Quebradas","Colombia"
"Duisburg","Germany"
"Dundee","United Kingdom"
"Dzerzinsk","Russian Federation"
"Ede","Netherlands"
"Effon-Alaiye","Nigeria"
"El Alto","Bolivia"
"El Fuerte","Mexico"
"El Monte","United States"
"Elista","Russian Federation"
"Emeishan","China"
"Emmen","Netherlands"
"Enshi","China"
"Erlangen","Germany"
"Escobar","Argentina"
"Esfahan","Iran"
"Eskisehir","Turkey"
"Etawah","India"
"Ezeiza","Argentina"
"Ezhou","China"
"Faaa","French Polynesia"
"Fengshan","Taiwan"
"Firozabad","India"
"Florencia","Colombia"
"Fontana","United States"
"Fukuyama","Japan"
"Funafuti","Tuvalu"
"Fuyu","China"
"Fuzhou","China"
"Gandhinagar","India"
"Garden Grove","United States"
"Garland","United States"
"Gatineau","Canada"
"Gaziantep","Turkey"
"Gijn","Spain"
"Gingoog","Philippines"
"Goinia","Brazil"
"Gorontalo","Indonesia"
"Grand Prairie","United States"
"Graz","Austria"
"Greensboro","United States"
"Guadalajara","Mexico"
"Guaruj","Brazil"
"guas Lindas de Gois","Brazil"
"Gulbarga","India"
"Hagonoy","Philippines"
"Haining","China"
"Haiphong","Vietnam"
"Haldia","India"
"Halifax","Canada"
"Halisahar","India"
"Halle/Saale","Germany"
"Hami","China"
"Hamilton","New Zealand"
"Hanoi","Vietnam"
"Hidalgo","Mexico"
"Higashiosaka","Japan"
"Hino","Japan"
"Hiroshima","Japan"
"Hodeida","Yemen"
"Hohhot","China"
"Hoshiarpur","India"
"Hsichuh","Taiwan"
"Huaian","China"
"Hubli-Dharwad","India"
"Huejutla de Reyes","Mexico"
"Huixquilucan","Mexico"
"Hunuco","Peru"
"Ibirit","Brazil"
"Idfu","Egypt"
"Ife","Nigeria"
"Ikerre","Nigeria"
"Iligan","Philippines"
"Ilorin","Nigeria"
"Imus","Philippines"
"Inegl","Turkey"
"Ipoh","Malaysia"
"Isesaki","Japan"
"Ivanovo","Russian Federation"
"Iwaki","Japan"
"Iwakuni","Japan"
"Iwatsuki","Japan"
"Izumisano","Japan"
"Jaffna","Sri Lanka"
"Jaipur","India"
"Jakarta","Indonesia"
"Jalib al-Shuyukh","Kuwait"
"Jamalpur","Bangladesh"
"Jaroslavl","Russian Federation"
"Jastrzebie-Zdrj","Poland"
"Jedda","Saudi Arabia"
"Jelets","Russian Federation"
"Jhansi","India"
"Jinchang","China"
"Jining","China"
"Jinzhou","China"
"Jodhpur","India"
"Johannesburg","South Africa"
"Joliet","United States"
"Jos Azueta","Mexico"
"Juazeiro do Norte","Brazil"
"Juiz de Fora","Brazil"
"Junan","China"
"Jurez","Mexico"
"Kabul","Afghanistan"
"Kaduna","Nigeria"
"Kakamigahara","Japan"
"Kaliningrad","Russian Federation"
"Kalisz","Poland"
"Kamakura","Japan"
"Kamarhati","India"
"Kamjanets-Podilskyi","Ukraine"
"Kamyin","Russian Federation"
"Kanazawa","Japan"
"Kanchrapara","India"
"Kansas City","United States"
"Karnal","India"
"Katihar","India"
"Kermanshah","Iran"
"Kilis","Turkey"
"Kimberley","South Africa"
"Kimchon","South Korea"
"Kingstown","Saint Vincent and the Grenadines"
"Kirovo-Tepetsk","Russian Federation"
"Kisumu","Kenya"
"Kitwe","Zambia"
"Klerksdorp","South Africa"
"Kolpino","Russian Federation"
"Konotop","Ukraine"
"Koriyama","Japan"
"Korla","China"
"Korolev","Russian Federation"
"Kowloon and New Kowloon","Hong Kong"
"Kragujevac","Yugoslavia"
"Ktahya","Turkey"
"Kuching","Malaysia"
"Kumbakonam","India"
"Kurashiki","Japan"
"Kurgan","Russian Federation"
"Kursk","Russian Federation"
"Kuwana","Japan"
"La Paz","Mexico"
"La Plata","Argentina"
"La Romana","Dominican Republic"
"Laiwu","China"
"Lancaster","United States"
"Laohekou","China"
"Lapu-Lapu","Philippines"
"Laredo","United States"
"Lausanne","Switzerland"
"Le Mans","France"
"Lengshuijiang","China"
"Leshan","China"
"Lethbridge","Canada"
"Lhokseumawe","Indonesia"
"Liaocheng","China"
"Liepaja","Latvia"
"Lilongwe","Malawi"
"Lima","Peru"
"Lincoln","United States"
"Linz","Austria"
"Lipetsk","Russian Federation"
"Livorno","Italy"
"Ljubertsy","Russian Federation"
"Loja","Ecuador"
"London","United Kingdom"
"London","Canada"
"Lublin","Poland"
"Lubumbashi","Congo, The Democratic Republic of the"
"Lungtan","Taiwan"
"Luzinia","Brazil"
"Madiun","Indonesia"
"Mahajanga","Madagascar"
"Maikop","Russian Federation"
"Malm","Sweden"
"Manchester","United States"
"Mandaluyong","Philippines"
"Mandi Bahauddin","Pakistan"
"Mannheim","Germany"
"Maracabo","Venezuela"
"Mardan","Pakistan"
"Maring","Brazil"
"Masqat","Oman"
"Matamoros","Mexico"
"Matsue","Japan"
"Meixian","China"
"Memphis","United States"
"Merlo","Argentina"
"Mexicali","Mexico"
"Miraj","India"
"Mit Ghamr","Egypt"
"Miyakonojo","Japan"
"Mogiljov","Belarus"
"Molodetno","Belarus"
"Monclova","Mexico"
"Monywa","Myanmar"
"Moscow","Russian Federation"
"Mosul","Iraq"
"Mukateve","Ukraine"
"Munger (Monghyr)","India"
"Mwanza","Tanzania"
"Mwene-Ditu","Congo, The Democratic Republic of the"
"Myingyan","Myanmar"
"Mysore","India"
"Naala-Porto","Mozambique"
"Nabereznyje Telny","Russian Federation"
"Nador","Morocco"
"Nagaon","India"
"Nagareyama","Japan"
"Najafabad","Iran"
"Naju","South Korea"
"Nakhon Sawan","Thailand"
"Nam Dinh","Vietnam"
"Namibe","Angola"
"Nantou","Taiwan"
"Nanyang","China"
"NDjamna","Chad"
"Newcastle","South Africa"
"Nezahualcyotl","Mexico"
"Nha Trang","Vietnam"
"Niznekamsk","Russian Federation"
"Novi Sad","Yugoslavia"
"Novoterkassk","Russian Federation"
"Nukualofa","Tonga"
"Nuuk","Greenland"
"Nyeri","Kenya"
"Ocumare del Tuy","Venezuela"
"Ogbomosho","Nigeria"
"Okara","Pakistan"
"Okayama","Japan"
"Okinawa","Japan"
"Olomouc","Czech Republic"
"Omdurman","Sudan"
"Omiya","Japan"
"Ondo","Nigeria"
"Onomichi","Japan"
"Oshawa","Canada"
"Osmaniye","Turkey"
"ostka","Ukraine"
"Otsu","Japan"
"Oulu","Finland"
"Ourense (Orense)","Spain"
"Owo","Nigeria"
"Oyo","Nigeria"
"Ozamis","Philippines"
"Paarl","South Africa"
"Pachuca de Soto","Mexico"
"Pak Kret","Thailand"
"Palghat (Palakkad)","India"
"Pangkal Pinang","Indonesia"
"Papeete","French Polynesia"
"Parbhani","India"
"Pathankot","India"
"Patiala","India"
"Patras","Greece"
"Pavlodar","Kazakstan"
"Pemalang","Indonesia"
"Peoria","United States"
"Pereira","Colombia"
"Phnom Penh","Cambodia"
"Pingxiang","China"
"Pjatigorsk","Russian Federation"
"Plock","Poland"
"Po","Brazil"
"Ponce","Puerto Rico"
"Pontianak","Indonesia"
"Poos de Caldas","Brazil"
"Portoviejo","Ecuador"
"Probolinggo","Indonesia"
"Pudukkottai","India"
"Pune","India"
"Purnea (Purnia)","India"
"Purwakarta","Indonesia"
"Pyongyang","North Korea"
"Qalyub","Egypt"
"Qinhuangdao","China"
"Qomsheh","Iran"
"Quilmes","Argentina"
"Rae Bareli","India"
"Rajkot","India"
"Rampur","India"
"Rancagua","Chile"
"Ranchi","India"
"Richmond Hill","Canada"
"Rio Claro","Brazil"
"Rizhao","China"
"Roanoke","United States"
"Robamba","Ecuador"
"Rockford","United States"
"Ruse","Bulgaria"
"Rustenburg","South Africa"
"s-Hertogenbosch","Netherlands"
"Saarbrcken","Germany"
"Sagamihara","Japan"
"Saint Louis","United States"
"Saint-Denis","Runion"
"Sal","Morocco"
"Salala","Oman"
"Salamanca","Mexico"
"Salinas","United States"
"Salzburg","Austria"
"Sambhal","India"
"San Bernardino","United States"
"San Felipe de Puerto Plata","Dominican Republic"
"San Felipe del Progreso","Mexico"
"San Juan Bautista Tuxtepec","Mexico"
"San Lorenzo","Paraguay"
"San Miguel de Tucumn","Argentina"
"Sanaa","Yemen"
"Santa Brbara dOeste","Brazil"
"Santa F","Argentina"
"Santa Rosa","Philippines"
"Santiago de Compostela","Spain"
"Santiago de los Caballeros","Dominican Republic"
"Santo Andr","Brazil"
"Sanya","China"
"Sasebo","Japan"
"Satna","India"
"Sawhaj","Egypt"
"Serpuhov","Russian Federation"
"Shahr-e Kord","Iran"
"Shanwei","China"
"Shaoguan","China"
"Sharja","United Arab Emirates"
"Shenzhen","China"
"Shikarpur","Pakistan"
"Shimoga","India"
"Shimonoseki","Japan"
"Shivapuri","India"
"Shubra al-Khayma","Egypt"
"Siegen","Germany"
"Siliguri (Shiliguri)","India"
"Simferopol","Ukraine"
"Sincelejo","Colombia"
"Sirjan","Iran"
"Sivas","Turkey"
"Skikda","Algeria"
"Smolensk","Russian Federation"
"So Bernardo do Campo","Brazil"
"So Leopoldo","Brazil"
"Sogamoso","Colombia"
"Sokoto","Nigeria"
"Songkhla","Thailand"
"Sorocaba","Brazil"
"Soshanguve","South Africa"
"Sousse","Tunisia"
"South Hill","Anguilla"
"Southampton","United Kingdom"
"Southend-on-Sea","United Kingdom"
"Southport","United Kingdom"
"Springs","South Africa"
"Stara Zagora","Bulgaria"
"Sterling Heights","United States"
"Stockport","United Kingdom"
"Sucre","Bolivia"
"Suihua","China"
"Sullana","Peru"
"Sultanbeyli","Turkey"
"Sumqayit","Azerbaijan"
"Sumy","Ukraine"
"Sungai Petani","Malaysia"
"Sunnyvale","United States"
"Surakarta","Indonesia"
"Syktyvkar","Russian Federation"
"Syrakusa","Italy"
"Szkesfehrvr","Hungary"
"Tabora","Tanzania"
"Tabriz","Iran"
"Tabuk","Saudi Arabia"
"Tafuna","American Samoa"
"Taguig","Philippines"
"Taizz","Yemen"
"Talavera","Philippines"
"Tallahassee","United States"
"Tama","Japan"
"Tambaram","India"
"Tanauan","Philippines"
"Tandil","Argentina"
"Tangail","Bangladesh"
"Tanshui","Taiwan"
"Tanza","Philippines"
"Tarlac","Philippines"
"Tarsus","Turkey"
"Tartu","Estonia"
"Teboksary","Russian Federation"
"Tegal","Indonesia"
"Tel Aviv-Jaffa","Israel"
"Tete","Mozambique"
"Tianjin","China"
"Tiefa","China"
"Tieli","China"
"Tokat","Turkey"
"Tonghae","South Korea"
"Tongliao","China"
"Torren","Mexico"
"Touliu","Taiwan"
"Toulon","France"
"Toulouse","France"
"Trshavn","Faroe Islands"
"Tsaotun","Taiwan"
"Tsuyama","Japan"
"Tuguegarao","Philippines"
"Tychy","Poland"
"Udaipur","India"
"Udine","Italy"
"Ueda","Japan"
"Uijongbu","South Korea"
"Uluberia","India"
"Urawa","Japan"
"Uruapan","Mexico"
"Usak","Turkey"
"Usolje-Sibirskoje","Russian Federation"
"Uttarpara-Kotrung","India"
"Vaduz","Liechtenstein"
"Valencia","Venezuela"
"Valle de la Pascua","Venezuela"
"Valle de Santiago","Mexico"
"Valparai","India"
"Vancouver","Canada"
"Varanasi (Benares)","India"
"Vicente Lpez","Argentina"
"Vijayawada","India"
"Vila Velha","Brazil"
"Vilnius","Lithuania"
"Vinh","Vietnam"
"Vitria de Santo Anto","Brazil"
"Warren","United States"
"Weifang","China"
"Witten","Germany"
"Woodridge","Australia"
"Wroclaw","Poland"
"Xiangfan","China"
"Xiangtan","China"
"Xintai","China"
"Xinxiang","China"
"Yamuna Nagar","India"
"Yangor","Nauru"
"Yantai","China"
"Yaound","Cameroon"
"Yerevan","Armenia"
"Yinchuan","China"
"Yingkou","China"
"York","United Kingdom"
"Yuncheng","China"
"Yuzhou","China"
"Zalantun","China"
"Zanzibar","Tanzania"
"Zaoyang","China"
"Zapopan","Mexico"
"Zaria","Nigeria"
"Zeleznogorsk","Russian Federation"
"Zhezqazghan","Kazakstan"
"Zhoushan","China"
"Ziguinchor","Senegal"
